Vampire Weekend,Billie Eilish,BTS,Shawn Mendes,Ariana Grande,Khalid,Post Malone,Lil Nas X,P!nk,Luke Combs,Queen,Jonas Brothers,Imagine Dragons,Halsey,Taylor Swift,Panic! At The Disco,Drake,Cardi B,Lauren Daigle,Dan + Shay,Nipsey Hussle,Sara Bareilles,George Strait,Brooks & Dunn,BLACKPINK,Kane Brown,Juice WRLD,Lady Gaga,Maren Morris,Bruno Mars,Bradley Cooper,New Kids On The Block,Travis Scott,Kacey Musgraves,Marshmello,Ed Sheeran,XXXTENTACION,Eminem,Pentatonix,Michael Buble,Kodak Black,Meek Mill,Mariah Carey,Mumford & Sons,Greta Van Fleet,Disturbed,Ella Mai,Lil Wayne,Josh Groban,BrockHampton,Prince,Maroon 5,Carrie Underwood,5 Seconds Of Summer,Nicki Minaj,Alice In Chains,Florida Georgia Line,Ozuna,Jason Aldean,Kenny Chesney,Halestorm,6ix9ine,Daughtry,Cody Jinks,Demi Lovato,Florence + The Machine,Gorillaz,Guns N' Roses,Camila Cabello,Kanye West,Ghost,Dua Lipa,Kendrick Lamar,Childish Gambino,Shinedown,Leon Bridges,J. Cole,The Weeknd,Lake Street Dive,Thirty Seconds To Mars,Migos,Chris Stapleton,MercyMe,Logic,David Byrne,Judas Priest,Jimi Hendrix,Justin Timberlake,Charlie Puth,NF,The Cranberries,Sam Smith,G-Eazy,Luke Bryan,Beyonce,Garth Brooks,21 Savage,Lil Pump,Portugal. The Man,Blake Shelton,Gucci Mane,Beck,Tom Petty And The Heartbreakers,Lil Uzi Vert,Foo Fighters,Thomas Rhett,Niall Horan,Justin Bieber,Brand New,DJ Khaled,Sam Hunt,Kesha,Neck Deep,The Chainsmokers,Linkin Park,Lana Del Rey,"Tyler, The Creator",JAY-Z,Selena Gomez,Romeo Santos,Rihanna,311,Future,Daddy Yankee,Bryson Tiller,The Beatles,Harry Styles,Shakira,Alessia Cara,Lil Yachty,Mary J. Blige,Willie Nelson,Keith Urban,Mastodon,Miranda Lambert,Adele,Metallica,twenty one pilots,Big Sean,Reba McEntire,Zayn,Rae Sremmurd,Dropkick Murphys,Sundance Head,A Tribe Called Quest,Leonard Cohen,Sia,DJ Snake,Kings Of Leon,The Game,Green Day,Calvin Harris,Usher,Aaron Lewis,Mac Miller,Casting Crowns,Frank Ocean,Tory Lanez,Lindsey Stirling,Meghan Trainor,Coldplay,Daya,Major Lazer,Fifth Harmony,The Avett Brothers,Red Hot Chili Peppers,Desiigner,Dierks Bentley,Kevin Gates,Lukas Graham,Mike Posner,Weezer,TWENTY88,Flo Rida,Joey + Rory,2 Chainz,Fetty Wap,Wiz Khalifa,Elton John,David Bowie,One Direction,Chris Brown,Rachel Platten,Ellie Goulding,Jordan Smith,Jeezy,Chris Young,Machine Gun Kelly,Elle King,David Gilmour,Ryan Adams,Fall Out Boy,Dr. Dre,OMI,Silento,N.W.A,Kip Moore,Jill Scott,Lamb Of God,Andy Grammer,WALK THE MOON,Miguel,Jason Derulo,A$AP Rocky,Zac Brown Band,Tove Lo,Tech N9ne,All Time Low,Mark Ronson,Nick Jonas,Madonna,Hozier,Kelly Clarkson,Katy Perry,Kidz Bop Kids,Ella Henderson,Matt McAndrew,Iggy Azalea,Nickelback,Slipknot,T.I.,Neil Diamond,Little Big Town,Barbra Streisand,alt-J,Tony Bennett,Brad Paisley,Charli XCX,Kem,MAGIC!,OneRepublic,Pharrell Williams,Nico & Vinz,Trey Songz,John Legend
1,6,8,1,8,8,8,2,1,7,8,3,8,8,1,6,8,8,4,4,1,1,1,1,1,1,5,5,1,1,4,1,5,1,1,3,4,2,2,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1,3,3,3,2,1,3,3,3,3,3,1,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,22,14,15,14,22,2,5,13,8,3,29,15,14,7,23,23,5,4,1,1,1,1,1,2,9,5,1,18,4,1,7,1,1,24,9,6,3,3,2,2,3,1,1,1,1,1,1,1,2,11,1,1,4,1,4,1,3,2,1,1,1,1,8,1,2,1,9,1,1,6,16,1,1,1,1,8,1,1,6,6,1,1,1,1,1,3,8,1,1,7,1,2,1,1,3,1,3,1,1,1,1,3,1,2,4,6,1,5,5,1,1,5,1,1,1,1,2,1,4,1,3,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,13,5,10,9,14,2,4,7,8,3,15,17,5,6,14,14,4,4,1,1,1,1,1,1,5,5,1,9,4,1,5,1,1,10,5,5,3,3,1,1,3,1,1,1,1,1,0,0,1,5,0,0,1,0,2,0,1,0,0,0,0,0,4,0,0,0,6,0,0,4,7,0,0,0,0,4,0,1,4,5,1,1,1,1,1,3,5,1,1,3,1,1,3,1,1,1,1,1,0,0,0,0,0,0,1,3,0,1,1,0,0,3,0,0,0,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,11,20,24,5,13,1,6,6,1,1,14,5,40,2,31,12,1,1,0,0,0,0,0,1,3,3,0,18,0,0,1,0,0,31,3,6,6,3,0,2,1,1,0,1,0,0,1,0,1,22,1,3,14,1,10,1,5,3,1,1,1,1,9,2,1,1,7,3,1,4,10,1,2,1,6,22,1,0,4,6,0,2,0,0,0,3,8,1,1,16,1,10,9,3,3,1,3,4,2,2,1,2,1,2,1,15,0,0,9,0,0,5,0,1,0,0,13,0,13,0,11,0,5,0,0,0,6,0,0,0,0,0,0,12,2,11,3,1,6,3,1,1,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,23,2,0,1,1,0,0,1,0,4,3,1,1,1,3,1,1,12,6,1,1,10,3,3,9,2,1,1,1,1,1,1,8,1,3,3,1,1,1,1,2,5,1,4,1,2,4,1,1,5,5,1,6,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,5,7,2,7,6,7,1,1,7,6,2,7,6,2,7,7,7,4,3,0,0,0,0,0,0,5,4,1,1,3,1,4,1,1,3,4,1,2,2,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,18,28,34,10,18,2,5,13,8,3,23,14,31,7,52,17,5,4,1,1,1,1,1,2,9,7,1,21,4,1,7,1,1,33,9,6,7,3,2,4,2,2,1,2,1,1,2,1,3,22,1,2,11,1,12,1,5,2,1,1,1,1,5,2,2,1,6,3,1,5,12,1,2,1,4,31,1,1,10,7,2,3,1,1,1,6,6,1,0,7,0,7,10,2,0,0,0,4,2,1,0,1,0,1,2,24,0,5,14,0,0,16,1,2,1,1,15,1,23,1,17,1,6,1,1,1,10,1,1,1,2,1,1,19,3,18,3,1,6,3,1,1,1,1,7,2,1,2,1,3,1,1,2,1,1,1,1,22,3,1,1,3,1,1,3,1,5,4,1,1,1,3,1,1,12,5,1,1,8,2,3,9,2,1,1,1,1,1,1,7,1,3,3,1,1,1,1,2,5,1,4,1,2,3,1,1,3,3,1,4,1,1,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6,21,10,13,14,22,2,5,13,8,3,23,14,12,7,17,23,5,4,1,1,1,1,1,2,9,5,1,12,4,1,7,1,1,18,9,6,3,3,2,1,3,1,1,1,1,1,1,1,1,9,1,1,2,1,4,1,3,2,1,1,1,1,8,1,1,1,9,1,1,6,11,1,1,1,1,3,1,1,3,5,1,1,1,1,1,3,7,1,1,5,1,1,1,1,3,1,3,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,1,5,5,5,1,1,5,4,2,5,4,1,4,5,5,5,2,0,0,0,0,0,0,3,2,1,1,2,1,3,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,1,4,4,4,2,1,4,4,2,4,4,1,3,4,4,2,4,1,1,1,1,1,1,1,2,0,0,2,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
